skill_i,skill_j,w2
0,0,0.0
0,1,0.6756242112557366
0,2,0.49386058539852534
0,3,0.6078510761613342
0,4,0.6756242112557366
0,5,0.17865075844068226
0,6,0.18263193874552963
0,7,0.6258443682420174
1,0,0.6756242112557366
1,1,0.0
1,2,0.3730395792474763
1,3,0.1898866954677922
1,4,0.0
1,5,0.6756671987192291
1,6,0.6755378142050558
1,7,0.11327149650762793
2,0,0.49386058539852534
2,1,0.3730395792474763
2,2,0.0
2,3,0.2644154612840606
2,4,0.3730395792474763
2,5,0.5278906978166473
2,6,0.5266692932618489
2,7,0.2911367871517086
3,0,0.6078510761613342
3,1,0.1898866954677922
3,2,0.2644154612840606
3,3,0.0
3,4,0.1898866954677922
3,5,0.6218234031995474
3,6,0.6206753089242576
3,7,0.11310205699647158
4,0,0.6756242112557366
4,1,0.0
4,2,0.3730395792474763
4,3,0.1898866954677922
4,4,0.0
4,5,0.6756671987192291
4,6,0.6755378142050558
4,7,0.11327149650762793
5,0,0.17865075844068226
5,1,0.6756671987192291
5,2,0.5278906978166473
5,3,0.6218234031995474
5,4,0.6756671987192291
5,5,0.0
5,6,0.07110748659920542
5,7,0.6326322736650926
6,0,0.18263193874552963
6,1,0.6755378142050558
6,2,0.5266692932618489
6,3,0.6206753089242576
6,4,0.6755378142050558
6,5,0.07110748659920542
6,6,0.0
6,7,0.6322093333506504
7,0,0.6258443682420174
7,1,0.11327149650762793
7,2,0.2911367871517086
7,3,0.11310205699647158
7,4,0.11327149650762793
7,5,0.6326322736650926
7,6,0.6322093333506504
7,7,0.0
