skill_i,skill_j,w2
0,0,0.0
0,1,0.6255100914860044
0,2,0.16463251695516715
0,3,0.041343327144718764
0,4,0.6255100914860044
0,5,0.0964021617768037
0,6,0.25020805770105176
0,7,0.6255100914860044
1,0,0.6255100914860044
1,1,0.0
1,2,0.5271985305803835
1,3,0.6304617006071968
1,4,0.0
1,5,0.5659198620944285
1,6,0.6151766455473038
1,7,0.0
2,0,0.16463251695516715
2,1,0.5271985305803835
2,2,0.0
2,3,0.17024380742439205
2,4,0.5271985305803835
2,5,0.1273170453803976
2,6,0.2655668380702848
2,7,0.5271985305803835
3,0,0.041343327144718764
3,1,0.6304617006071968
3,2,0.17024380742439205
3,3,0.0
3,4,0.6304617006071968
3,5,0.10324756669927623
3,6,0.24597768776012885
3,7,0.6304617006071968
4,0,0.6255100914860044
4,1,0.0
4,2,0.5271985305803835
4,3,0.6304617006071968
4,4,0.0
4,5,0.5659198620944285
4,6,0.6151766455473038
4,7,0.0
5,0,0.0964021617768037
5,1,0.5659198620944285
5,2,0.1273170453803976
5,3,0.10324756669927623
5,4,0.5659198620944285
5,5,0.0
5,6,0.25180479370437914
5,7,0.5659198620944285
6,0,0.25020805770105176
6,1,0.6151766455473038
6,2,0.2655668380702848
6,3,0.24597768776012885
6,4,0.6151766455473038
6,5,0.25180479370437914
6,6,0.0
6,7,0.6151766455473038
7,0,0.6255100914860044
7,1,0.0
7,2,0.5271985305803835
7,3,0.6304617006071968
7,4,0.0
7,5,0.5659198620944285
7,6,0.6151766455473038
7,7,0.0
